#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2013 12 11 14 25  2.2  0.4 11.8  2.1  7.1 SSW   W      STEEP  5.5 277
2013 12 11 13 55  2.1  0.4 10.5  2.1  7.7 SSW   W      STEEP  5.6 270
2013 12 11 13 25  2.2  0.4 10.5  2.2  7.1  SW   W      STEEP  5.5 271
2013 12 11 12 55  2.3  0.4 11.1  2.2  6.2  SW WNW VERY_STEEP  5.5 283
2013 12 11 12 25  2.4  0.3 10.5  2.3  6.2 SSW WNW VERY_STEEP  5.5 284
2013 12 11 11 55  2.3  0.3 10.5  2.2  6.7 SSW   W VERY_STEEP  5.6 278
2013 12 11 11 25  2.3  0.3 10.5  2.3  7.1  SW   W      STEEP  5.4 274
2013 12 11 10 55  2.3  0.3 11.8  2.3  6.7 SSW   W VERY_STEEP  5.4 276
2013 12 11 10 25  2.3  0.2 10.5  2.3  7.1 WSW   W      STEEP  5.5 276
2013 12 11 09 55  2.5  0.2 10.5  2.4  6.7   W WNW VERY_STEEP  5.5 285
2013 12 11 09 25  2.4  0.3 14.3  2.4  7.1   W   W      STEEP  5.5 273
2013 12 11 08 55  2.4  0.2 10.5  2.4  7.7 WSW   W      STEEP  5.5 266
2013 12 11 08 25  2.6  0.3 10.5  2.6  7.7   W   W      STEEP  5.6 269
2013 12 11 07 55  2.4  0.2 10.5  2.4  7.1 SSW   W      STEEP  5.4 276
2013 12 11 07 25  2.5  0.2 10.5  2.5  6.7 SSE WNW VERY_STEEP  5.6 285
2013 12 11 06 55  2.7  0.2 11.1  2.7  7.1 WSW   W VERY_STEEP  5.6 270
2013 12 11 06 25  2.6  0.2 10.5  2.6  7.1   S   W VERY_STEEP  5.5 273
2013 12 11 05 55  2.4  0.2 11.1  2.4  7.1  SE   W      STEEP  5.5 273
2013 12 11 05 25  2.6  0.2 11.1  2.6  7.1 SSW   W VERY_STEEP  5.6 270
2013 12 11 04 55  2.4  0.2 10.5  2.4  6.7   S   W VERY_STEEP  5.4 271
2013 12 11 04 25  2.3  0.2 11.1  2.3  6.7   W   W VERY_STEEP  5.3 281
2013 12 11 03 55  2.4  0.2 11.8  2.4  6.7 SSW   W VERY_STEEP  5.4 280
2013 12 11 03 25  2.3  0.2 10.5  2.3  6.7  SW   W VERY_STEEP  5.3 278
2013 12 11 02 55  2.3  0.2 10.5  2.3  6.2   S WNW VERY_STEEP  5.2 290
2013 12 11 02 25  2.0  0.2 11.8  2.0  6.2 WSW   W VERY_STEEP  5.0 276
2013 12 11 01 55  2.0  0.2 11.1  2.0  5.6 SSE   W VERY_STEEP  4.8 280
2013 12 11 01 25  1.9  0.2 11.1  1.8  5.3  SE WNW VERY_STEEP  4.6 283
2013 12 11 00 55  1.5  0.2 11.1  1.5  4.0   S  NW VERY_STEEP  4.1 307
2013 12 11 00 25  1.1  0.2 10.5  1.1  7.1 SSE   S    AVERAGE  4.0 191
2013 12 10 23 55  1.0  0.2 11.1  1.0  7.7 SSE   S    AVERAGE  4.3 186
2013 12 10 23 25  1.1  0.2 11.8  1.0  7.7 SSE   S    AVERAGE  4.4 187
2013 12 10 22 55  1.1  0.2 11.8  1.1  3.7   S   N VERY_STEEP  4.2 356
2013 12 10 22 25  1.1  0.2 11.8  1.1  3.9 SSE   N VERY_STEEP  4.3 350
2013 12 10 21 55  1.1  0.2 11.8  1.0  3.9 SSE   N VERY_STEEP  4.4 353
2013 12 10 21 25  1.0  0.2 11.8  1.0  7.7 SSE SSE    AVERAGE  4.3 160
2013 12 10 20 55  1.0  0.2 11.8  1.0  7.7 SSE   S    AVERAGE  4.6 172
2013 12 10 20 25  1.1  0.2 11.1  1.1  6.7 SSE SSW      STEEP  4.9 194
2013 12 10 19 55  1.0  0.2 11.8  1.0  7.1 SSE   S    AVERAGE  5.2 179
2013 12 10 19 25  1.0  0.2 11.8  0.9  6.2 SSE  SW      STEEP  5.2 218
2013 12 10 18 55  1.0  0.2 11.8  1.0  6.2 SSE  SW      STEEP  5.4 229
2013 12 10 18 25  1.1  0.2 11.8  1.1  5.9   S WSW      STEEP  5.5 245
2013 12 10 17 55  1.1  0.2 11.1  1.1  6.7 SSE SSW      STEEP  5.7 208
2013 12 10 17 25  1.2  0.2 11.1  1.1  7.1 SSE SSW    AVERAGE  5.7 207
2013 12 10 16 55  1.2  0.2 11.1  1.2  6.7 SSE  SW      STEEP  5.6 225
2013 12 10 16 25  1.2  0.2 11.8  1.2  7.1 SSE SSW    AVERAGE  5.5 205
2013 12 10 15 55  1.3  0.2 11.1  1.2  7.1  SE SSW    AVERAGE  5.6 207
2013 12 10 15 25  1.3  0.2 10.5  1.3  6.7 SSE  SW      STEEP  5.6 219
2013 12 10 14 55  1.2  0.2 11.1  1.2  6.7 SSE  SW      STEEP  5.5 235
2013 12 10 14 25  1.3  0.2 11.1  1.3  7.1 SSE SSW      STEEP  5.6 211
2013 12 10 13 55  1.4  0.2 11.8  1.4  7.1 SSE  SW      STEEP  5.7 225
2013 12 10 13 25  1.5  0.2 11.1  1.5  7.1 SSE  SW      STEEP  5.9 225
2013 12 10 12 55  1.4  0.2 11.1  1.4  7.7 SSE  SW    AVERAGE  5.7 214
2013 12 10 12 25  1.4  0.2 11.8  1.4  7.1 SSE  SW      STEEP  5.5 228
2013 12 10 11 55  1.5  0.2 11.1  1.5  7.7 SSE SSW    AVERAGE  5.6 193
2013 12 10 11 25  1.5  0.3 11.8  1.5  7.1 SSE  SW      STEEP  5.4 225
2013 12 10 10 55  1.5  0.2 11.8  1.4  8.3 SSE   S    AVERAGE  5.3 170
2013 12 10 10 25  1.7  0.2 11.8  1.7  7.7  SE SSW      STEEP  5.7 204
2013 12 10 09 55  1.7  0.2 10.5  1.6  8.3 SSE   S    AVERAGE  5.7 169
2013 12 10 09 25  1.7  0.3 10.5  1.7  8.3 SSE SSE    AVERAGE  5.8 167
2013 12 10 08 55  1.6  0.2 10.5  1.6  7.7 SSE  SW    AVERAGE  5.4 214
2013 12 10 08 25  1.9  0.2 10.5  1.9  8.3 SSE   S    AVERAGE  5.8 173
2013 12 10 07 55  2.0  0.2 11.8  2.0  7.7 SSE SSW      STEEP  5.9 209
2013 12 10 07 25  2.1  0.2 10.5  2.0  8.3   S SSE    AVERAGE  5.7 167
2013 12 10 06 55  2.0  0.2 11.8  2.0  8.3 SSE SSE    AVERAGE  5.7 167
2013 12 10 06 25  2.2  0.3 11.1  2.1  9.1 SSE SSE    AVERAGE  5.7 159
2013 12 10 05 55  2.1  0.3 10.5  2.1  7.1   S  SW      STEEP  5.8 233
2013 12 10 05 25  2.2  0.3 12.5  2.2  7.1 SSE  SW      STEEP  5.8 225
2013 12 10 04 55  2.2  0.3 10.5  2.2  7.1   S  SW      STEEP  5.5 222
2013 12 10 04 25  2.2  0.3 11.8  2.2  8.3 SSE   S      STEEP  5.7 176
2013 12 10 03 55  2.4  0.3 11.8  2.4  8.3 SSW   S      STEEP  5.8 177
2013 12 10 03 25  2.3  0.3 10.5  2.3  8.3 SSE SSE      STEEP  5.8 164
2013 12 10 02 55  2.2  0.3 11.1  2.1  8.3 SSE SSE      STEEP  5.5 163
2013 12 10 02 25  2.2  0.3 10.5  2.2  6.7 SSE  SW VERY_STEEP  5.8 226
2013 12 10 01 55  2.1  0.3 11.1  2.0  7.1 SSE SSW      STEEP  5.7 198
2013 12 10 01 25  2.2  0.3 10.5  2.1  8.3   S SSE      STEEP  5.7 150
2013 12 10 00 55  2.1  0.3 11.8  2.0  8.3 SSE  SE    AVERAGE  5.7 146
2013 12 10 00 25  2.0  0.3 10.5  2.0  8.3 SSE  SE    AVERAGE  5.8 143
2013 12 09 23 55  2.1  0.3 11.1  2.1  8.3 SSE  SE    AVERAGE  6.2 142
2013 12 09 23 25  2.2  0.4 11.1  2.2  8.3 SSE  SE      STEEP  6.1 138
2013 12 09 22 55  2.2  0.4 11.8  2.2  8.3  SE  SE      STEEP  5.9 142
2013 12 09 22 25  2.2  0.3 10.5  2.2  8.3 SSE  SE      STEEP  5.8 138
2013 12 09 21 55  2.2  0.3 10.5  2.2  8.3 SSE  SE      STEEP  5.9 138
2013 12 09 21 25  2.5  0.3 10.5  2.5  8.3  SE  SE      STEEP  6.1 142
2013 12 09 20 55  2.7  0.4 12.5  2.6  8.3 SSE  SE      STEEP  6.3 143
2013 12 09 20 25  2.6  0.3 10.5  2.6  8.3  SE  SE      STEEP  6.3 141
2013 12 09 19 55  2.7  0.3 11.1  2.7  8.3  SE  SE      STEEP  6.4 142
2013 12 09 19 25  2.7  0.3 10.5  2.7  8.3 SSE  SE      STEEP  6.4 146
2013 12 09 18 55  2.7  0.3 10.5  2.7  7.7 SSE  SE      STEEP  6.4 146
2013 12 09 18 25  3.1  0.3 11.8  3.0  8.3 SSE  SE      STEEP  6.4 146
2013 12 09 17 55  2.8  0.3 12.5  2.8  7.7 SSE  SE      STEEP  6.2 146
2013 12 09 17 25  2.9  0.3 10.5  2.9  7.7 SSE  SE      STEEP  6.2 145
2013 12 09 16 55  3.0  0.3 11.1  3.0  7.7 SSE  SE      STEEP  6.1 146
2013 12 09 16 25  3.2  0.4 12.5  3.1  7.1 SSE  SE VERY_STEEP  6.2 141
2013 12 09 15 55  2.9  0.4 11.8  2.9  7.1 SSE  SE VERY_STEEP  6.0 141
2013 12 09 15 25  2.8  0.4 11.1  2.8  7.1 SSE  SE VERY_STEEP  5.8 139
2013 12 09 14 55  3.1  0.3 11.1  3.1  6.7  SE  SE VERY_STEEP  5.9 138
2013 12 09 14 25  2.7  0.3 11.8  2.7  6.2 SSE  SE VERY_STEEP  5.5 132
2013 12 09 13 55  2.7  0.3 12.5  2.7  6.7  SE  SE VERY_STEEP  5.4 131
2013 12 09 13 25  2.4  0.3 12.5  2.4  6.2 SSE  SE VERY_STEEP  5.3 132
2013 12 09 12 55  2.4  0.3 12.5  2.4  6.2 SSE  SE VERY_STEEP  5.2 134
2013 12 09 12 25  2.1  0.3 12.5  2.1  5.9  SE  SE VERY_STEEP  5.0 128
2013 12 09 11 55  2.2  0.3 12.5  2.2  5.9 SSE  SE VERY_STEEP  5.1 125
2013 12 09 11 25  2.0  0.3 12.5  2.0  6.2 SSE  SE VERY_STEEP  5.0 127
2013 12 09 10 55  2.0  0.3 12.5  1.9  5.9   S  SE VERY_STEEP  4.8 127
2013 12 09 10 25  1.9  0.3 11.8  1.9  5.9 SSE  SE VERY_STEEP  4.7 125
2013 12 09 09 55  1.8  0.3 12.5  1.8  5.6 SSE  SE VERY_STEEP  4.7 124
2013 12 09 09 25  1.6  0.3 12.5  1.6  5.6 SSE ESE VERY_STEEP  4.7 122
2013 12 09 08 55  1.6  0.3 11.8  1.6  5.6 SSE  SE VERY_STEEP  4.5 124
2013 12 09 08 25  1.5  0.3 12.5  1.5  5.3 SSE ESE VERY_STEEP  4.5 122
2013 12 09 07 55  1.5  0.3 12.5  1.4  5.0 SSE ESE VERY_STEEP  4.4 122
2013 12 09 07 25  1.4  0.2 12.5  1.4  5.0 SSE ESE VERY_STEEP  4.2 122
2013 12 09 06 55  1.3  0.3 12.5  1.2  4.8 SSE ESE VERY_STEEP  4.2 119
2013 12 09 06 25  1.1  0.3 12.5  1.1  4.5  SE ESE VERY_STEEP  4.0 121
2013 12 09 05 55  1.1  0.3 11.8  1.1  4.2 SSE ESE VERY_STEEP  3.9 114
2013 12 09 05 25  1.1  0.3 12.5  1.1  4.2 SSE ESE VERY_STEEP  3.9 115
2013 12 09 04 55  1.1  0.3 12.5  1.0  4.3  SE ESE VERY_STEEP  3.8 121
2013 12 09 04 25  0.9  0.3 11.8  0.9  3.7 SSE ESE VERY_STEEP  3.7 103
2013 12 09 03 55  0.9  0.3 11.8  0.9  3.3 SSE ESE VERY_STEEP  3.6 108
2013 12 09 03 25  0.8  0.3 12.5  0.8  3.2 SSE   E VERY_STEEP  3.6  96
2013 12 09 02 55  0.8  0.3 12.5  0.7  3.5 SSE   E        N/A  3.8 153
2013 12 09 02 25  0.7  0.3 11.8  0.7  3.1 SSE   E        N/A  3.6 156
2013 12 09 01 55  0.7  0.3 12.5  0.6  2.9 SSE   E        N/A  3.8 162
2013 12 09 01 25  0.6  0.3 13.3  0.5  8.3 SSE SSE        N/A  4.0 159
2013 12 09 00 55  0.6  0.2 12.5  0.5  9.9 SSE SSE        N/A  4.2 153
2013 12 09 00 25  0.6  0.3 13.3  0.5  8.3 SSE SSE        N/A  4.8 155
2013 12 08 23 55  0.5  0.3 13.3  0.4  9.1 SSE SSE        N/A  5.2 157
2013 12 08 23 25  0.5  0.3 13.3  0.4  7.7 SSE SSE        N/A  6.0 153
2013 12 08 22 55  0.6  0.3 12.5  0.4  9.1 SSE SSE        N/A  5.7 157
2013 12 08 22 25  0.5  0.3 13.3  0.4  9.1 SSE   S        N/A  5.4 155
2013 12 08 21 55  0.6  0.3 12.5  0.5  8.3 SSE   S        N/A  5.3 153
2013 12 08 21 25  0.6  0.3 12.5  0.5  7.7 SSE SSE        N/A  4.9 157
2013 12 08 20 55  0.6  0.3 13.3  0.5  7.7 SSE SSE        N/A  5.2 156
2013 12 08 20 25  0.6  0.3 12.5  0.5  8.3 SSE SSE        N/A  4.8 149
2013 12 08 19 55  0.7  0.4 13.3  0.5  9.1 SSE   S        N/A  5.0 157
2013 12 08 19 25  0.7  0.3 12.5  0.6  3.6 SSE  NE        N/A  4.6 153
2013 12 08 18 55  0.7  0.3 12.5  0.6  3.9 SSE  NE        N/A  4.6 149
2013 12 08 18 25  0.8  0.4 13.3  0.7  3.7  SE  NE        N/A  4.8 145
2013 12 08 17 55  0.7  0.4 12.5  0.6  3.7  SE NNE        N/A  4.5 141
2013 12 08 17 25  0.8  0.4 14.3  0.7  4.0 SSE  NE    AVERAGE  4.6 159
2013 12 08 16 55  0.8  0.3 13.3  0.7  4.2 SSE NNE VERY_STEEP  4.3  31
2013 12 08 16 25  0.8  0.3 13.3  0.8  4.5 SSE  NE    AVERAGE  4.3 163
2013 12 08 15 55  0.9  0.4 12.5  0.8  4.2 SSE  NE    AVERAGE  4.5 153
2013 12 08 15 25  0.9  0.3 12.5  0.9  4.5 SSE  NE VERY_STEEP  4.3  37
2013 12 08 14 55  0.9  0.4 13.3  0.8  4.0 SSE NNE    AVERAGE  4.4 166
2013 12 08 14 25  1.0  0.3 13.3  0.9  4.2 SSE NNE VERY_STEEP  4.2  27
2013 12 08 13 55  0.9  0.4 14.3  0.9  4.2 SSE   N    AVERAGE  4.2 150
2013 12 08 13 25  1.0  0.4 13.3  0.9  3.9 SSE NNE    AVERAGE  4.3 149
2013 12 08 12 55  0.9  0.3 13.3  0.9  4.0 SSE   N VERY_STEEP  4.3  10
2013 12 08 12 25  0.9  0.3 12.5  0.8  3.9 SSE   N VERY_STEEP  4.3  10
2013 12 08 11 55  1.0  0.3 14.3  0.9  4.0 SSE   N VERY_STEEP  4.4   1
2013 12 08 11 25  1.0  0.3 14.3  0.9  4.3 SSE   N VERY_STEEP  4.2 353
2013 12 08 10 55  1.0  0.3 14.3  0.9  3.9 SSE   N VERY_STEEP  4.4   8
2013 12 08 10 25  1.0  0.3 13.3  1.0  4.2 SSE   N VERY_STEEP  4.3 349
2013 12 08 09 55  1.1  0.3 14.3  1.0  4.2 SSE NNW VERY_STEEP  4.3 346
2013 12 08 09 25  1.1  0.3 14.3  1.0  4.0 SSE   N VERY_STEEP  4.3 352
2013 12 08 08 55  1.0  0.3 14.3  1.0  4.0   S   N VERY_STEEP  4.4 352
2013 12 08 08 25  1.1  0.3 14.3  1.1  4.2 SSE NNW VERY_STEEP  4.4 344
2013 12 08 07 55  1.2  0.3 14.3  1.2  4.8 SSE  NW VERY_STEEP  4.4 326
2013 12 08 07 25  1.2  0.3 14.3  1.2  4.5 SSE NNW VERY_STEEP  4.4 332
2013 12 08 06 55  1.2  0.3 14.3  1.2  4.5  SE NNW VERY_STEEP  4.5 333
2013 12 08 06 25  1.2  0.3 14.3  1.2  4.8 SSE NNW VERY_STEEP  4.4 329
2013 12 08 05 55  1.2  0.3 15.4  1.2  4.5 SSE NNW VERY_STEEP  4.5 337
2013 12 08 05 25  1.3  0.3 14.3  1.2  4.5 SSE NNW VERY_STEEP  4.4 339
2013 12 08 04 55  1.3  0.3 15.4  1.3  4.8  SE NNW VERY_STEEP  4.5 340
2013 12 08 04 25  1.2  0.3 14.3  1.2  4.5 SSE NNW VERY_STEEP  4.5 332
2013 12 08 03 55  1.3  0.3 14.3  1.2  4.3 SSE   N VERY_STEEP  4.5 352
2013 12 08 03 25  1.1  0.3 14.3  1.1  4.3 SSE NNW VERY_STEEP  4.5 347
2013 12 08 02 55  1.3  0.3 13.3  1.2  4.3 SSE   N VERY_STEEP  4.5 354
2013 12 08 02 25  1.1  0.3 14.3  1.1  4.5 SSE   N VERY_STEEP  4.5 353
2013 12 08 01 55  1.2  0.3 14.3  1.1  4.3  SE   N VERY_STEEP  4.5 349
2013 12 08 01 25  1.2  0.2 15.4  1.1  8.3  SE SSW    AVERAGE  4.6 204
2013 12 08 00 55  1.3  0.3 10.5  1.3  4.2   S NNW VERY_STEEP  4.6 347
2013 12 08 00 25  1.2  0.3 10.5  1.2  8.3   S SSW    AVERAGE  4.5 207
2013 12 07 23 55  1.3  0.3 15.4  1.2  4.5 SSE NNW VERY_STEEP  4.5 342
2013 12 07 23 25  1.4  0.3 15.4  1.4  8.3 SSE SSW    AVERAGE  4.6 208
2013 12 07 22 55  1.3  0.2 15.4  1.2  4.8 SSE NNW VERY_STEEP  4.4 332
2013 12 07 22 25  1.4  0.3 10.5  1.4  4.5 SSE NNW VERY_STEEP  4.5 346
2013 12 07 21 55  1.3  0.3 11.1  1.3  4.3   S NNW VERY_STEEP  4.5 342
2013 12 07 21 25  1.2  0.2 10.5  1.2  4.3   S NNW VERY_STEEP  4.5 335
2013 12 07 20 55  1.2  0.2 10.5  1.2  4.3   S NNW VERY_STEEP  4.4 346
2013 12 07 20 25  1.3  0.2 10.5  1.3  4.2   S   N VERY_STEEP  4.6 349
2013 12 07 19 55  1.2  0.2 10.5  1.1  8.3 SSW SSW    AVERAGE  4.4 197
2013 12 07 19 25  1.2  0.2 10.5  1.1  8.3   S SSW    AVERAGE  4.5 208
2013 12 07 18 55  1.1  0.3 10.5  1.1  8.3   S SSW    AVERAGE  4.6 200
2013 12 07 18 25  1.2  0.3 10.5  1.1  8.3   S SSW    AVERAGE  4.8 202
2013 12 07 17 55  1.1  0.2 10.5  1.1  4.2 SSW NNE VERY_STEEP  4.6  24
2013 12 07 17 25  1.1  0.2 10.5  1.1  4.3 SSE NNE VERY_STEEP  4.4  27
2013 12 07 16 55  1.2  0.3 10.5  1.2  4.3   S  NE VERY_STEEP  4.5  34
2013 12 07 16 25  1.2  0.2 10.5  1.2  4.5   S  NE VERY_STEEP  4.5  34
2013 12 07 15 55  1.2  0.2 11.1  1.2  4.5  SE  NE VERY_STEEP  4.4  38
2013 12 07 15 25  1.2  0.2 11.1  1.2  4.2 SSE  NE VERY_STEEP  4.6  35
2013 12 07 14 55  1.3  0.2 11.1  1.3  4.5  SE  NE VERY_STEEP  4.6  41
2013 12 07 14 25  1.3  0.2 10.5  1.3  4.5  SE  NE VERY_STEEP  4.7  41
2013 12 07 13 55  1.3  0.2 11.1  1.3  4.5  SE NNE VERY_STEEP  4.5  32
2013 12 07 13 25  1.4  0.2 11.8  1.4  4.5  SE NNE VERY_STEEP  4.7  31
2013 12 07 12 55  1.4  0.2 11.1  1.4  4.8 SSE  NE VERY_STEEP  4.7  34
2013 12 07 12 25  1.6  0.2 10.5  1.5  4.8  SE NNE VERY_STEEP  4.7  29
2013 12 07 11 55  1.6  0.2 10.5  1.5  4.5  SE NNE VERY_STEEP  4.7  31
2013 12 07 11 25  1.7  0.2 10.5  1.6  4.5   S  NE VERY_STEEP  4.6  35
